Word,Total,monthValue
mexican,96,::2:1:4:3::::::1:::1:2:1:1:1:6:1:1:2:3:::1:2::::1:1:3:1::1::1:2:2:1:1:2:2:1:::1::1::1:5:2:5:1:1:3:2::1:1::1:1:::1::1:1:2:1:::1:::::1::::1:::1:1:3:1:::1:::::::::::::::::::1::1
lebanese,95,:::4:11:4::1:::1:3::4:::::::18:14:3:2:2::1:1:2:1:2:::::1::1:1::::2::2:1:::::::::1:::1:::1:1:2:1::::1:1:::::::::1::::::::::::::::::1::::::::::1:::::1
syrian,95,:::3:11:5:2:2:1:1::4::1::1:::::4:3:1:1:1::1::1::2::1::2:::::::2:::2:::1::1:::::::::::::2::::1::::::::::1:2:1:::2::1::1:1:2:1::1:3::1:2:1:2:2:3::::1:::4:4:::::::::::1:1
swedish,91,1:3:3:1:2:2::2:1:1:1:::2:2:1:2::1:8::1:2:1:::2:::::1:2::1:1::::2:::1:1::2::5::1:1:2:::1::2:1:::1:5::1:1:::2:1:1:1:1::4::1:::1:::::2:::::::1:1:::::::::::::::::::::3:::::::::::1
swiss,87,:2:::1:1:4:1:::1:1::2:1::::2:4:1:::2:2:1:::3:2:2:1:2:2:1::1::1:2:2::::::1:::3:4:1::::1:1:1::1:1:4:2:2::::2:2:::::1::::3:::1::::::1::1::1::1::1:::::2:2::::::::1::::::::::::::::1
finnish,83,1:1:1:1::1:1:::1::1::1:2:1:2:1:3::1:::::1:::1::2:1::9:8:3:3:1:3:4:5:2:2:1::1:1:2::::1:::3:::2::::1:::::::::::::::1::::1:::::1::::::::::1:::::::::::1::::::1::::::::1
israelis,81,1::3:4::::1::1::1::2:1:1::1:1:2:5:9:1::4:::1:1:1::1:::2::2:1:3::::1:::1:::1:1:6:2:::2:::::1:2:1::::::2::1:::::::1:::::1::::::::1:::::::::1::::::::::::1:1:::1::1:1::::1
south korean,81,2:::2::2::1::1:::3:3:::1:1:::1:5::3::::1:::3:4:2:1:1:1::2::::2::1:::1::::2::1::1:2:1::1::2:::::1:2:1:2:1:1:1::2::::::1:1:::::1:::1:::::1:::2:2::1::1::::1:1:1:::::1::1
south african,81,::1:1:1:3::4:1:1:1:1:::4::2:1:1:2:2:4:2:2:1:::1::::::4:1:1::2::::2:1:3:1:::::2:2::::::::1:1:4:1:1:2::1:::::1::::1::::1:1::2::1::1::::::1:1:1:::1::::1:::::::::1:::::::::::::1
romanian,79,2::8:4:5:20:13::1:::3::1::1::1:1:1::1::::1::::::::1:2::1:1:::1::::1::::::1:1::1::::::1::1:::::::::::::::::::1:::::::::::::::::1::1:::::1
arab,79,:1::1:5:5:2:1:1::2:3:1::1::1:2:1::3:4:::::::1:1:::::1:1:2::5:1:::1::2:::::2:3::1::1::::::2:1::::::1:1::::::::2:1:::2:::::1:1:1:::1:::::1:::1:::::1:::2:::::2:::1::1
fifa world cup,76,::::::::::::::::::1:37:7::::::::2:::::1:::1:::::::1::1:::::1:1:1::1:4:::::1:2::::::4:1:1::1::1::::::::1:::::::1::::::::::1:::::::::::2::::1
somali,74,:::::1:::::::2:::::::2:2:::1:::1::2::1:::::::::::1::::1:::1:4:1:2:2:8::1::2:2:4:10:2:5:2:3:1:3:1:2::1:::::::::::::1::::::::::::::::::::1:::::::1
danish,72,:1::1::1::1:3:2::1:::3:10:3:::::3:1:1::::::::1:1:3::2:3:1::3:1::1:1::::2:2:::2:::2:1:2:::::4:2::::::::1::::::::::::1::::::::::::::::::::::::1::::::::::::::::2:2
ukrainian,70,3:2::::1::1:::1:2::2:3::1::1:3:1:2::1::1:::::2::1::1::1:1:1:1:2:1:1::1:4:1::1:2::1:1:::::::1::1:1:::::::::::::::::::1::::::::1:1:1::::::1:::::::::::::1::5:::1:1:2:2::::1::1
portuguese,69,2:2:2:1::2:::2:1:::::3:1:::3:9:3:4::1::1::1:4::1:::::::3:2:1:2:1:::::::::1:3:::1::1::1::::::::1:2:::::::1:::1::::::::::::::::2:1::::1::::::::::::1
bush,67,:1:2:3:1:2:2:1:1::2::2:2:1:3::1:1:1:2:2::1:3:1::1:2::2::::1:3::3:1:1:1:1::::1::1:1::1::3:1::1:::::::2:2:2:::::::::::::::::::::1
republic,67,::2:1:1:1:::1:1::1:2::::1:1:2:::2:::2:::::3::::1:2:1:1:6:6:1:2:3:2:2:2::1:::2:1::1:1:1:1:1:1::1::::::::::::::::::::1:1::::::1:::2::::::1
islamist,66,::1::::3:1:4:1:::::1:1:2::1:1:2::1:1:1:1:::1:1:::::1:::1:1:1:1::::1:1:1:::2:1:::::1::1::4::2:2:1:1:1::::1::::1:::::1:::1::1::1:::1:::::::::::::::1::2:1::::1:::::::2:3::::::1
